task_id,repo,alignment_verdict,new_eval_verdict,agent_success,fail_to_pass_total,pass_to_pass_total,required_total,selected_test_files_count,issue_specificity_count,issue_categories_count,issue_specificity,issue_categories,problem_statement_words,requirements_words,requirements_bullet_count,interface_words,interface_meaningful,patch_files,patch_changed,test_patch_files,test_patch_changed,f2p_bucket,p2p_bucket,selected_test_files_bucket,patch_files_bucket,patch_changed_bucket,test_patch_changed_bucket,requirements_words_bucket
qutebrowser-233cb1cc,qutebrowser,ok,accept,False,8,284,292,3,3,4,ui_ux_feat;customization_feat;integration_feat,desktop_knowledge;ui_ux_knowledge;performance_knowledge;front_end_knowledge,95,196,1,5,False,7,54,4,87,03_6-10,04_101+,03_3-5,03_4-10,02_51-200,02_21-100,02_101-250
qutebrowser-2dd8966f,qutebrowser,leaked,reject,True,3,119,122,1,4,3,minor_bug;ui_ux_bug;regression_bug;code_quality_enh,front_end_knowledge;ui_ux_knowledge;desktop_knowledge,93,173,6,80,True,5,48,1,10,02_3-5,04_101+,01_1,03_4-10,01_0-50,01_0-20,02_101-250
qutebrowser-2e961080,qutebrowser,leaked,accept,True,6,102,108,1,2,3,code_quality_enh;performance_enh,back_end_knowledge;desktop_knowledge;performance_knowledge,220,167,8,5,False,3,79,1,32,03_6-10,04_101+,01_1,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-305e7c96,qutebrowser,leaked,reject,False,1,51,52,1,3,1,core_feat;integration_feat;accessibility_feat,desktop_knowledge,139,170,9,52,True,3,28,1,35,01_1-2,03_51-100,01_1,02_2-3,01_0-50,02_21-100,02_101-250
qutebrowser-322834d0,qutebrowser,ok,accept,False,24,0,24,1,2,2,core_feat;refactoring_enh,desktop_knowledge;devops_knowledge,227,223,9,107,True,3,87,1,132,04_11-25,01_0-10,01_1,02_2-3,02_51-200,03_101-250,02_101-250
qutebrowser-34a13afd,qutebrowser,ok,reject,True,1,5,6,1,1,2,edge_case_bug,back_end_knowledge;performance_knowledge,198,104,5,5,False,1,50,1,26,01_1-2,01_0-10,01_1,01_1,01_0-50,02_21-100,02_101-250
qutebrowser-36ade4bb,qutebrowser,ok,reject,False,10,76,86,1,2,2,customization_feat;code_quality_enh,back_end_knowledge;desktop_knowledge,125,132,5,5,False,1,47,1,59,03_6-10,03_51-100,01_1,01_1,01_0-50,02_21-100,02_101-250
qutebrowser-3e21c821,qutebrowser,narrow_tests,reject,False,1869,0,1869,2,2,1,code_quality_enh;refactoring_enh,desktop_knowledge,197,131,4,94,True,1,59,1,92,05_26+,01_0-10,02_2,01_1,02_51-200,02_21-100,02_101-250
qutebrowser-44e64199,qutebrowser,ok,reject,True,3,51,54,1,2,3,refactoring_enh;code_quality_enh,back_end_knowledge;desktop_knowledge;api_knowledge,154,75,3,84,True,1,49,1,31,02_3-5,03_51-100,01_1,01_1,01_0-50,02_21-100,01_0-100
qutebrowser-46e6839e,qutebrowser,ok,reject,True,4,159,163,2,3,2,refactoring_enh;technical_debt_enh;performance_enh,desktop_knowledge;back_end_knowledge,154,186,5,32,True,5,50,2,20,02_3-5,04_101+,02_2,03_4-10,01_0-50,01_0-20,02_101-250
qutebrowser-473a15f7,qutebrowser,leaked,accept,False,364,1,365,1,3,1,regression_bug;localization_feat;critical_bug,desktop_knowledge,271,294,22,5,False,4,102,1,446,05_26+,01_0-10,01_1,03_4-10,02_51-200,04_251+,03_251-500
qutebrowser-479aa075,qutebrowser,leaked,reject,True,2,9,11,1,1,4,code_quality_enh,back_end_knowledge;desktop_knowledge;devops_knowledge;infrastructure_knowledge,172,276,13,5,False,1,41,1,41,01_1-2,01_0-10,01_1,01_1,01_0-50,02_21-100,03_251-500
qutebrowser-50efac08,qutebrowser,ok,reject,True,1,36,37,1,4,3,minor_bug;edge_case_bug;regression_bug;compatibility_bug,back_end_knowledge;ui_ux_knowledge;performance_knowledge,125,71,2,5,False,1,38,1,14,01_1-2,02_11-50,01_1,01_1,01_0-50,01_0-20,01_0-100
qutebrowser-52708364,qutebrowser,leaked,accept,True,4,998,1002,1,3,3,ui_ux_feat;customization_feat;ui_ux_enh,full_stack_knowledge;web_knowledge;ui_ux_knowledge,82,136,6,76,True,4,55,1,18,02_3-5,04_101+,01_1,03_4-10,02_51-200,01_0-20,02_101-250
qutebrowser-54bcdc1e,qutebrowser,ok,reject,True,4,180,184,1,2,2,code_quality_enh;performance_enh,back_end_knowledge;performance_knowledge,128,176,4,5,False,1,38,1,35,02_3-5,04_101+,01_1,01_1,01_0-50,02_21-100,02_101-250
qutebrowser-5cef49ff,qutebrowser,leaked,reject,False,1,39,40,1,1,1,performance_enh,back_end_knowledge,248,290,9,56,True,2,43,1,48,01_1-2,02_11-50,01_1,02_2-3,01_0-50,02_21-100,03_251-500
qutebrowser-5e0d6dc1,qutebrowser,narrow_tests,reject,True,1,5,6,1,2,4,ui_ux_bug;compatibility_bug,desktop_knowledge;ui_ux_knowledge;front_end_knowledge;web_knowledge,139,140,6,5,False,4,48,1,6,01_1-2,01_0-10,01_1,03_4-10,01_0-50,01_0-20,02_101-250
qutebrowser-5fdc83e5,qutebrowser,ok,reject,True,11,46,57,1,2,1,code_quality_enh;refactoring_enh,back_end_knowledge,132,113,5,135,True,3,72,1,45,04_11-25,02_11-50,01_1,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-66cfa15c,qutebrowser,leaked,accept,True,366,118,484,2,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;api_knowledge,231,385,1,5,False,5,126,2,473,05_26+,04_101+,02_2,03_4-10,02_51-200,04_251+,03_251-500
qutebrowser-6b320dc1,qutebrowser,leaked,reject,True,2,983,985,1,3,1,compatibility_bug;edge_case_bug;ui_ux_bug,ui_ux_knowledge,189,127,1,5,False,1,38,1,7,01_1-2,04_101+,01_1,01_1,01_0-50,01_0-20,02_101-250
qutebrowser-6dd402c0,qutebrowser,narrow_tests,reject,True,1,18,19,1,3,3,critical_bug;data_bug;integration_bug,back_end_knowledge;api_knowledge;desktop_knowledge,126,111,5,50,True,1,44,1,13,01_1-2,02_11-50,01_1,01_1,01_0-50,01_0-20,02_101-250
qutebrowser-70248f25,qutebrowser,ok,reject,False,28,145,173,1,1,3,ui_ux_feat,back_end_knowledge;ui_ux_knowledge;desktop_knowledge,241,146,6,73,True,2,37,1,49,05_26+,04_101+,01_1,02_2-3,01_0-50,02_21-100,02_101-250
qutebrowser-77c35579,qutebrowser,ok,reject,False,2,26,28,1,2,3,refactoring_enh;performance_enh,back_end_knowledge;api_knowledge;performance_knowledge,137,333,13,5,False,2,45,1,20,01_1-2,02_11-50,01_1,02_2-3,01_0-50,01_0-20,03_251-500
qutebrowser-7f9713b2,qutebrowser,leaked,accept,True,12,8,20,1,2,3,edge_case_bug;minor_bug,desktop_knowledge;web_knowledge;back_end_knowledge,199,188,6,50,True,3,63,1,81,04_11-25,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-85b867fe,qutebrowser,narrow_tests,accept,True,5,237,242,1,2,2,core_feat;ui_ux_feat,ui_ux_knowledge;front_end_knowledge,147,116,6,45,True,3,106,3,94,02_3-5,04_101+,01_1,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-8cd06741,qutebrowser,narrow_tests,accept,True,25,0,25,1,3,4,core_feat;customization_feat;integration_feat,back_end_knowledge;desktop_knowledge;api_knowledge;ui_ux_knowledge,152,137,6,5,False,4,59,1,31,04_11-25,01_0-10,01_1,03_4-10,02_51-200,02_21-100,02_101-250
qutebrowser-8d05f028,qutebrowser,ok,reject,True,2,161,163,1,4,2,edge_case_bug;data_bug;compatibility_bug;regression_bug,desktop_knowledge;back_end_knowledge,132,138,6,5,False,1,31,1,12,01_1-2,04_101+,01_1,01_1,01_0-50,01_0-20,02_101-250
qutebrowser-8f46ba3f,qutebrowser,leaked,reject,True,7,5,12,1,1,2,core_feat,security_knowledge;back_end_knowledge,177,162,6,5,False,3,29,1,60,03_6-10,01_0-10,01_1,02_2-3,01_0-50,02_21-100,02_101-250
qutebrowser-96b99780,qutebrowser,ok,reject,True,17,161,178,1,3,2,core_feat;performance_feat;customization_feat,back_end_knowledge;web_knowledge,160,173,18,65,True,2,24,1,23,04_11-25,04_101+,01_1,02_2-3,01_0-50,02_21-100,02_101-250
qutebrowser-99029144,qutebrowser,leaked,accept,True,4,58,62,1,4,4,ui_ux_feat;core_feat;integration_feat;customization_feat,back_end_knowledge;desktop_knowledge;ui_ux_knowledge;performance_knowledge,172,250,7,5,False,5,77,1,203,02_3-5,03_51-100,01_1,03_4-10,02_51-200,03_101-250,02_101-250
qutebrowser-996487c4,qutebrowser,ok,reject,True,1,1014,1015,1,2,1,code_quality_enh;refactoring_enh,back_end_knowledge,128,94,5,5,False,2,43,1,5,01_1-2,04_101+,01_1,02_2-3,01_0-50,01_0-20,01_0-100
qutebrowser-9b71c1ea,qutebrowser,ok,accept,False,364,1,365,1,1,2,compatibility_bug,back_end_knowledge;desktop_knowledge,147,277,1,5,False,4,102,1,446,05_26+,01_0-10,01_1,03_4-10,02_51-200,04_251+,03_251-500
qutebrowser-9ed748ef,qutebrowser,ok,reject,False,6,979,985,1,2,1,code_quality_enh;performance_enh,back_end_knowledge,343,269,1,5,False,1,38,1,44,03_6-10,04_101+,01_1,01_1,01_0-50,02_21-100,03_251-500
qutebrowser-a84ecfb8,qutebrowser,ok,accept,True,2,28,30,2,3,2,core_feat;ui_ux_enh;code_quality_enh,desktop_knowledge;ui_ux_knowledge,196,164,7,137,True,4,51,3,55,01_1-2,02_11-50,02_2,03_4-10,02_51-200,02_21-100,02_101-250
qutebrowser-bf045f7e,qutebrowser,ok,accept,True,12,13,25,1,2,1,edge_case_bug;compatibility_bug,back_end_knowledge,190,126,4,5,False,1,74,2,56,04_11-25,02_11-50,01_1,01_1,02_51-200,02_21-100,02_101-250
qutebrowser-c09e1439,qutebrowser,ok,accept,True,2,100,102,2,2,2,core_feat;performance_feat,desktop_knowledge;performance_knowledge,63,281,1,5,False,4,45,2,20,01_1-2,03_51-100,02_2,03_4-10,01_0-50,01_0-20,03_251-500
qutebrowser-c0be28eb,qutebrowser,leaked,reject,True,8,8,16,1,3,3,compatibility_bug;ui_ux_bug;edge_case_bug,full_stack_knowledge;ui_ux_knowledge;desktop_knowledge,243,173,7,119,True,1,32,1,68,03_6-10,01_0-10,01_1,01_1,01_0-50,02_21-100,02_101-250
qutebrowser-c580ebf0,qutebrowser,leaked,reject,True,11,191,202,3,3,3,minor_bug;compatibility_bug;core_feat,back_end_knowledge;web_knowledge;api_knowledge,243,257,1,29,True,3,44,3,56,04_11-25,04_101+,03_3-5,02_2-3,01_0-50,02_21-100,03_251-500
qutebrowser-cc360cd4,qutebrowser,ok,reject,False,9,173,182,1,2,1,code_quality_enh;refactoring_enh,back_end_knowledge,193,160,8,5,False,2,44,1,36,03_6-10,04_101+,01_1,02_2-3,01_0-50,02_21-100,02_101-250
qutebrowser-cf06f4e3,qutebrowser,ok,reject,False,2,38,40,1,3,2,core_feat;integration_feat;ui_ux_feat,desktop_knowledge;ui_ux_knowledge,168,86,5,5,False,1,64,1,9,01_1-2,02_11-50,01_1,01_1,02_51-200,01_0-20,01_0-100
qutebrowser-deeb15d6,qutebrowser,narrow_tests,accept,False,10,442,452,1,4,3,minor_bug;data_bug;edge_case_bug;refactoring_enh,back_end_knowledge;desktop_knowledge;web_knowledge,340,467,1,5,False,1,53,1,23,03_6-10,04_101+,01_1,01_1,02_51-200,02_21-100,03_251-500
qutebrowser-e15d2663,qutebrowser,ok,reject,False,4,13,17,1,3,4,integration_feat;localization_feat;api_feat,back_end_knowledge;web_knowledge;api_knowledge;accessibility_knowledge,130,123,3,5,False,3,32,3,17,02_3-5,02_11-50,01_1,02_2-3,01_0-50,01_0-20,02_101-250
qutebrowser-e34dfc68,qutebrowser,leaked,accept,False,11,236,247,1,2,2,edge_case_bug;data_bug,web_knowledge;desktop_knowledge,311,184,1,5,False,1,58,1,34,04_11-25,04_101+,01_1,01_1,02_51-200,02_21-100,02_101-250
qutebrowser-e5340c44,qutebrowser,ok,accept,True,4,0,4,1,2,2,refactoring_enh;code_quality_enh,back_end_knowledge;desktop_knowledge,140,118,6,296,True,7,213,1,6,02_3-5,01_0-10,01_1,03_4-10,03_201-500,01_0-20,02_101-250
qutebrowser-e57b6e0e,qutebrowser,narrow_tests,reject,True,1,0,1,1,1,3,refactoring_enh,desktop_knowledge;back_end_knowledge;api_knowledge,137,116,6,94,True,3,42,1,7,01_1-2,01_0-10,01_1,02_2-3,01_0-50,01_0-20,02_101-250
qutebrowser-e64622cd,qutebrowser,leaked,reject,True,4,43,47,1,2,3,code_quality_enh;refactoring_enh,back_end_knowledge;desktop_knowledge;devops_knowledge,138,139,5,5,False,1,41,1,19,02_3-5,02_11-50,01_1,01_1,01_0-50,01_0-20,02_101-250
qutebrowser-e70f5b03,qutebrowser,leaked,accept,False,4,36,40,1,3,1,core_feat;minor_bug;edge_case_bug,desktop_knowledge,126,86,3,33,True,2,46,3,65,02_3-5,02_11-50,01_1,02_2-3,01_0-50,02_21-100,01_0-100
qutebrowser-ec2dcfce,qutebrowser,leaked,accept,True,7,6,13,2,3,2,customization_feat;ui_ux_feat;core_feat,back_end_knowledge;desktop_knowledge,211,224,6,75,True,4,96,3,108,03_6-10,01_0-10,02_2,03_4-10,02_51-200,03_101-250,02_101-250
qutebrowser-ed19d7f5,qutebrowser,ok,reject,True,5,274,279,3,2,4,api_feat;ui_ux_feat,desktop_knowledge;ui_ux_knowledge;api_knowledge;back_end_knowledge,131,139,7,5,False,4,34,3,65,02_3-5,04_101+,03_3-5,03_4-10,01_0-50,02_21-100,02_101-250
qutebrowser-ef5ba1a0,qutebrowser,leaked,accept,True,364,1,365,1,2,1,integration_bug;compatibility_bug,desktop_knowledge,134,304,8,5,False,4,102,1,446,05_26+,01_0-10,01_1,03_4-10,02_51-200,04_251+,03_251-500
qutebrowser-f631cd44,qutebrowser,leaked,accept,False,32,0,32,1,2,3,ui_ux_feat;core_feat,front_end_knowledge;ui_ux_knowledge;desktop_knowledge,150,165,12,41,True,5,138,1,86,05_26+,01_0-10,01_1,03_4-10,02_51-200,02_21-100,02_101-250
qutebrowser-f7753550,qutebrowser,ok,reject,True,26,1821,1847,1,2,1,edge_case_bug;minor_bug,back_end_knowledge,160,185,10,69,True,3,52,1,8,05_26+,04_101+,01_1,02_2-3,02_51-200,01_0-20,02_101-250
qutebrowser-f8e7fea0,qutebrowser,ok,reject,False,88,20,108,1,2,4,ui_ux_bug;compatibility_bug,desktop_knowledge;front_end_knowledge;performance_knowledge;ui_ux_knowledge,174,137,6,5,False,4,82,1,31,05_26+,02_11-50,01_1,03_4-10,02_51-200,02_21-100,02_101-250
qutebrowser-fcfa069a,qutebrowser,narrow_tests,reject,False,12,37,49,1,2,2,core_feat;technical_debt_enh,back_end_knowledge;database_knowledge,162,166,1,150,True,1,56,1,51,04_11-25,02_11-50,01_1,01_1,02_51-200,02_21-100,02_101-250
qutebrowser-fea33d60,qutebrowser,ok,reject,True,14,6,20,1,1,4,compatibility_bug,back_end_knowledge;web_knowledge;desktop_knowledge;performance_knowledge,163,161,7,5,False,2,22,1,3,04_11-25,01_0-10,01_1,02_2-3,01_0-50,01_0-20,02_101-250
qutebrowser-fec187c2,qutebrowser,narrow_tests,reject,False,1,242,243,1,1,2,edge_case_bug,back_end_knowledge;web_knowledge,75,64,4,6,False,1,40,1,1,01_1-2,04_101+,01_1,01_1,01_0-50,01_0-20,01_0-100
